"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - test/accuracy","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - test/accuracy__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - test/accuracy__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - test/accuracy","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - test/accuracy__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - test/accuracy__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"4","0.00892116182572614","0.006846473029045643","0.011203319502074689","285","285","285","0.004201244813278008","0.002904564315352697","0.0053941908713692945","285","285","285"
"9","0.1636929460580913","0.13900414937759337","0.17448132780082987","570","570","570","0.010088174273858922","0.007676348547717842","0.012655601659751037","570","570","570"
"14","0.41187759336099583","0.39024896265560166","0.43568464730290457","855","855","855","0.029408713692946058","0.01804979253112033","0.054149377593361","855","855","855"
"19","0.5814315352697095","0.5634854771784232","0.604149377593361","1140","1140","1140","0.08830394190871368","0.05394190871369295","0.16473029045643153","1140","1140","1140"
"24","0.6586099585062242","0.6454356846473029","0.6761410788381743","1425","1425","1425","0.1663122406639004","0.10394190871369295","0.26680497925311203","1425","1425","1425"
"29","0.695746887966805","0.6802904564315353","0.7153526970954357","1710","1710","1710","0.24683609958506225","0.1570539419087137","0.33195020746887965","1710","1710","1710"
"34","0.7144190871369295","0.700414937759336","0.7271784232365145","1995","1995","1995","0.314548755186722","0.2483402489626556","0.4091286307053942","1995","1995","1995"
"39","0.7161307053941909","0.7008298755186722","0.7327800829875518","2280","2280","2280","0.37157676348547725","0.2950207468879668","0.45","2280","2280","2280"
"44","0.7233921161825726","0.7109958506224067","0.7352697095435685","2565","2565","2565","0.416701244813278","0.36016597510373444","0.49107883817427384","2565","2565","2565"
"49","0.7279564315352697","0.7130705394190872","0.7462655601659751","2850","2850","2850","0.4636670124481328","0.41244813278008297","0.5087136929460581","2850","2850","2850"
"54","0.7276452282157676","0.7178423236514523","0.7387966804979254","3135","3135","3135","0.49434647302904566","0.4433609958506224","0.5365145228215767","3135","3135","3135"
"59","0.7308091286307054","0.7134854771784233","0.7468879668049793","3420","3420","3420","0.5109180497925311","0.4721991701244813","0.5404564315352697","3420","3420","3420"
"64","0.7314834024896265","0.7230290456431535","0.7477178423236515","3705","3705","3705","0.5349585062240664","0.4863070539419087","0.5632780082987552","3705","3705","3705"
"69","0.7312759336099585","0.7203319502074689","0.745643153526971","3990","3990","3990","0.5420643153526971","0.5","0.5724066390041493","3990","3990","3990"
"74","0.7308609958506225","0.7197095435684647","0.7439834024896266","4275","4275","4275","0.5560165975103734","0.4871369294605809","0.5798755186721992","4275","4275","4275"
"79","0.7330394190871369","0.7230290456431535","0.7437759336099585","4560","4560","4560","0.5616182572614107","0.5211618257261411","0.5883817427385892","4560","4560","4560"
"84","0.7312240663900416","0.716804979253112","0.7439834024896266","4845","4845","4845","0.5713174273858921","0.5311203319502075","0.5904564315352697","4845","4845","4845"
"89","0.7349066390041494","0.7228215767634855","0.7470954356846473","5130","5130","5130","0.5740145228215767","0.5309128630705394","0.5975103734439834","5130","5130","5130"