"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"4","0.006587136929460581","0.004771784232365146","0.00850622406639004","480","480","480","0","0","0","480","480","480"
"9","0.019035269709543567","0.013070539419087137","0.025103734439834026","960","960","960","0.0006742738589211618","0","0.002074688796680498","960","960","960"
"14","0.033609958506224065","0.03029045643153527","0.03796680497925311","1440","1440","1440","0.0010892116182572614","0","0.0016597510373443983","1440","1440","1440"
"19","0.046680497925311204","0.0437759336099585","0.05186721991701245","1920","1920","1920","0.0014004149377593361","0.0004149377593360996","0.002282157676348548","1920","1920","1920"
"24","0.06281120331950207","0.0558091286307054","0.06721991701244813","2400","2400","2400","0.002074688796680498","0.0006224066390041493","0.0033195020746887966","2400","2400","2400"
"29","0.08578838174273859","0.08215767634854772","0.087551867219917","2880","2880","2880","0.0037863070539419083","0.0024896265560165973","0.004979253112033195","2880","2880","2880"
"34","0.11390041493775933","0.11182572614107884","0.11680497925311203","3360","3360","3360","0.004927385892116183","0.0037344398340248964","0.005809128630705394","3360","3360","3360"
"39","0.14865145228215768","0.14543568464730292","0.15269709543568466","3840","3840","3840","0.007676348547717843","0.005809128630705394","0.00850622406639004","3840","3840","3840"
"44","0.17795643153526972","0.1690871369294606","0.18319502074688795","4320","4320","4320","0.010943983402489626","0.00933609958506224","0.012863070539419087","4320","4320","4320"
"49","0.21099585062240664","0.20103734439834026","0.22199170124481327","4800","4800","4800","0.016908713692946057","0.015352697095435684","0.01929460580912863","4800","4800","4800"
"54","0.2461618257261411","0.23257261410788382","0.2587136929460581","5280","5280","5280","0.017271784232365146","0.016182572614107885","0.01867219917012448","5280","5280","5280"
"59","0.2807572614107884","0.2717842323651452","0.2933609958506224","5760","5760","5760","0.0270746887966805","0.025103734439834026","0.02925311203319502","5760","5760","5760"
"64","0.316701244813278","0.30975103734439835","0.324896265560166","6240","6240","6240","0.030809128630705396","0.028838174273858923","0.03464730290456432","6240","6240","6240"
"69","0.34149377593360997","0.3346473029045643","0.3487551867219917","6720","6720","6720","0.040093360995850626","0.03630705394190872","0.043153526970954356","6720","6720","6720"
"74","0.37821576763485476","0.3732365145228216","0.38817427385892117","7200","7200","7200","0.04559128630705394","0.043360995850622405","0.0470954356846473","7200","7200","7200"
"79","0.3987033195020747","0.37821576763485476","0.4103734439834025","7680","7680","7680","0.05228215767634854","0.05020746887966805","0.056224066390041495","7680","7680","7680"
"84","0.4278008298755187","0.4211618257261411","0.4358921161825726","8160","8160","8160","0.05866182572614108","0.05684647302904564","0.06058091286307054","8160","8160","8160"
"89","0.43890041493775933","0.43049792531120334","0.4466804979253112","8640","8640","8640","0.07354771784232365","0.06742738589211618","0.08464730290456432","8640","8640","8640"