"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"4","0.5769017980636238","0.5670124481327801","0.5850622406639004","480","480","480","0.3645228215767635","0.35394190871369297","0.37261410788381744","480","480","480","0.03831258644536653","0.036929460580912864","0.04066390041493776","195","195","195"
"9","0.6060857538035962","0.5981327800829875","0.6114107883817428","960","960","960","0.41756569847856156","0.40767634854771784","0.4246887966804979","960","960","960","0.25027662517289073","0.24730290456431536","0.25228215767634854","390","390","390"
"14","0.587551867219917","0.5852697095435685","0.5890041493775934","1440","1440","1440","0.39605809128630715","0.3879668049792531","0.40103734439834027","1440","1440","1440","0.31258644536652835","0.3058091286307054","0.3180497925311203","585","585","585"
"19","0.5915629322268326","0.5881742738589212","0.5933609958506224","1920","1920","1920","0.3678423236514523","0.35892116182572614","0.38153526970954355","1920","1920","1920","0.3241355463347165","0.3145228215767635","0.33630705394190874","780","780","780"
"24","0.6086445366528354","0.6051867219917012","0.6136929460580913","2400","2400","2400","0.3783540802213001","0.36804979253112036","0.39273858921161825","2400","2400","2400","0.3208852005532503","0.3112033195020747","0.32987551867219916","975","975","975"
"29","0.6255878284923928","0.620746887966805","0.6284232365145228","2880","2880","2880","0.4035961272475796","0.3887966804979253","0.41286307053941906","2880","2880","2880","0.30857538035961274","0.3062240663900415","0.3103734439834025","1170","1170","1170"
"34","0.6548409405255878","0.6502074688796681","0.6612033195020747","3360","3360","3360","0.44923928077455044","0.44190871369294604","0.45995850622406637","3360","3360","3360","0.2868603042876902","0.27344398340248965","0.29647302904564315","1365","1365","1365"
"39","0.66417704011065","0.6612033195020747","0.6676348547717842","3840","3840","3840","0.4826417704011065","0.462448132780083","0.4966804979253112","3840","3840","3840","0.2760027662517289","0.25892116182572616","0.2858921161825726","1560","1560","1560"
"44","0.6773167358229598","0.6715767634854771","0.6840248962655602","4320","4320","4320","0.5011065006915629","0.4912863070539419","0.508298755186722","4320","4320","4320","0.2556016597510373","0.2429460580912863","0.262448132780083","1755","1755","1755"
"49","0.6852697095435684","0.6784232365145229","0.6892116182572614","4800","4800","4800","0.5332641770401106","0.5253112033195021","0.5431535269709543","4800","4800","4800","0.23983402489626557","0.23298755186721992","0.24522821576763484","1950","1950","1950"
"54","0.6937759336099586","0.6860995850622407","0.7089211618257262","5280","5280","5280","0.5550484094052558","0.546265560165975","0.5612033195020747","5280","5280","5280","0.22095435684647302","0.21431535269709542","0.22676348547717842","2145","2145","2145"
"59","0.6996542185338867","0.691701244813278","0.7105809128630706","5760","5760","5760","0.5709543568464731","0.5618257261410788","0.5815352697095436","5760","5760","5760","0.20601659751037346","0.2029045643153527","0.208298755186722","2340","2340","2340"
"64","0.7046334716459198","0.6987551867219917","0.7087136929460581","6240","6240","6240","0.5832641770401107","0.5688796680497925","0.5927385892116183","6240","6240","6240","0.19190871369294604","0.18568464730290457","0.20062240663900416","2535","2535","2535"
"69","0.7036652835408023","0.6993775933609958","0.7062240663900415","6720","6720","6720","0.5966804979253112","0.5869294605809129","0.6031120331950207","6720","6720","6720","0.18298755186721993","0.17053941908713693","0.19066390041493775","2730","2730","2730"
"74","0.7073997233748271","0.6970954356846473","0.716597510373444","7200","7200","7200","0.6004149377593362","0.5811203319502075","0.6120331950207469","7200","7200","7200","0.17946058091286307","0.17344398340248962","0.18713692946058091","2925","2925","2925"
"79","0.7074688796680498","0.7060165975103735","0.7103734439834025","7680","7680","7680","0.6084370677731674","0.5997925311203319","0.6128630705394191","7680","7680","7680","0.16673582295988934","0.1533195020746888","0.18070539419087137","3120","3120","3120"
"84","0.7027662517289074","0.6952282157676348","0.708091286307054","8160","8160","8160","0.61417704011065","0.6080912863070539","0.6255186721991701","8160","8160","8160","0.16051175656984784","0.15311203319502076","0.16473029045643153","3315","3315","3315"
"89","0.7089211618257262","0.7020746887966804","0.720954356846473","8640","8640","8640","0.6213692946058091","0.6178423236514523","0.6257261410788382","8640","8640","8640","0.1521438450899032","0.14647302904564316","0.1562240663900415","3510","3510","3510"