"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.005-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0005-preratio0.0-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.005-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"4","0","0","0","480","480","480","0.0005705394190871369","0","0.001037344398340249","480","480","480","0","0","0","480","480","480","0.00015560165975103733","0","0.0006224066390041493","480","480","480","0.0007261410788381743","0.0004149377593360996","0.0012448132780082987","195","195","195","0.5769017980636238","0.5670124481327801","0.5850622406639004","480","480","480","0.3645228215767635","0.35394190871369297","0.37261410788381744","480","480","480","0.3228215767634855","0.31058091286307055","0.3450207468879668","480","480","480","0.03831258644536653","0.036929460580912864","0.04066390041493776","195","195","195"
"9","0.0008298755186721991","0","0.0014522821576763486","960","960","960","0.0006742738589211618","0","0.0018672199170124482","960","960","960","0","0","0","960","960","960","0","0","0","960","960","960","0","0","0","390","390","390","0.6060857538035962","0.5981327800829875","0.6114107883817428","960","960","960","0.41756569847856156","0.40767634854771784","0.4246887966804979","960","960","960","0.37136929460580914","0.35892116182572614","0.38029045643153525","960","960","960","0.25027662517289073","0.24730290456431536","0.25228215767634854","390","390","390"
"14","0.008609958506224065","0","0.013485477178423237","1440","1440","1440","0.002437759336099585","0","0.004564315352697096","1440","1440","1440","0.00005186721991701245","0","0.0002074688796680498","1440","1440","1440","0","0","0","1440","1440","1440","0","0","0","585","585","585","0.587551867219917","0.5852697095435685","0.5890041493775934","1440","1440","1440","0.39605809128630715","0.3879668049792531","0.40103734439834027","1440","1440","1440","0.3455048409405255","0.333402489626556","0.3553941908713693","1440","1440","1440","0.31258644536652835","0.3058091286307054","0.3180497925311203","585","585","585"
"19","0.06078838174273859","0","0.09896265560165975","1920","1920","1920","0.009024896265560165","0.0002074688796680498","0.016597510373443983","1920","1920","1920","0","0","0","1920","1920","1920","0","0","0","1920","1920","1920","0","0","0","780","780","780","0.5915629322268326","0.5881742738589212","0.5933609958506224","1920","1920","1920","0.3678423236514523","0.35892116182572614","0.38153526970954355","1920","1920","1920","0.315283540802213","0.30020746887966804","0.33796680497925313","1920","1920","1920","0.3241355463347165","0.3145228215767635","0.33630705394190874","780","780","780"
"24","0.1575207468879668","0.004564315352697096","0.2495850622406639","2400","2400","2400","0.028060165975103735","0.00850622406639004","0.05539419087136929","2400","2400","2400","0","0","0","2400","2400","2400","0","0","0","2400","2400","2400","0","0","0","975","975","975","0.6086445366528354","0.6051867219917012","0.6136929460580913","2400","2400","2400","0.3783540802213001","0.36804979253112036","0.39273858921161825","2400","2400","2400","0.30698478561549103","0.2929460580912863","0.3188796680497925","2400","2400","2400","0.32088520055325037","0.3112033195020747","0.32987551867219916","975","975","975"
"29","0.23646265560165977","0.03589211618257261","0.337344398340249","2880","2880","2880","0.09061203319502076","0.03983402489626556","0.14647302904564316","2880","2880","2880","0.0001037344398340249","0","0.0004149377593360996","2880","2880","2880","0.00005186721991701245","0","0.0002074688796680498","2880","2880","2880","0","0","0","1170","1170","1170","0.6255878284923928","0.620746887966805","0.6284232365145228","2880","2880","2880","0.4035961272475796","0.3887966804979253","0.41286307053941906","2880","2880","2880","0.3123789764868603","0.2919087136929461","0.33526970954356844","2880","2880","2880","0.30857538035961274","0.3062240663900415","0.3103734439834025","1170","1170","1170"
"34","0.30855809128630707","0.11908713692946057","0.40809128630705394","3360","3360","3360","0.17582987551867219","0.0941908713692946","0.2454356846473029","3360","3360","3360","0.0007261410788381743","0","0.0014522821576763486","3360","3360","3360","0","0","0","3360","3360","3360","0","0","0","1365","1365","1365","0.6548409405255878","0.6502074688796681","0.6612033195020747","3360","3360","3360","0.44923928077455044","0.44190871369294604","0.45995850622406637","3360","3360","3360","0.3350622406639004","0.31659751037344397","0.35124481327800827","3360","3360","3360","0.2868603042876902","0.27344398340248965","0.29647302904564315","1365","1365","1365"
"39","0.34320539419087137","0.1817427385892116","0.4199170124481328","3840","3840","3840","0.2710062240663901","0.17157676348547718","0.34315352697095436","3840","3840","3840","0.0028526970954356845","0.0002074688796680498","0.006639004149377593","3840","3840","3840","0.0001037344398340249","0","0.0004149377593360996","3840","3840","3840","0","0","0","1560","1560","1560","0.66417704011065","0.6612033195020747","0.6676348547717842","3840","3840","3840","0.4826417704011065","0.462448132780083","0.4966804979253112","3840","3840","3840","0.3639004149377594","0.3510373443983402","0.37136929460580914","3840","3840","3840","0.27600276625172887","0.25892116182572616","0.2858921161825726","1560","1560","1560"
"44","0.38884854771784233","0.27634854771784234","0.4495850622406639","4320","4320","4320","0.33749999999999997","0.2705394190871369","0.39066390041493776","4320","4320","4320","0.006639004149377593","0.0006224066390041493","0.014315352697095435","4320","4320","4320","0.00036307053941908715","0","0.0006224066390041493","4320","4320","4320","0","0","0","1755","1755","1755","0.6773167358229598","0.6715767634854771","0.6840248962655602","4320","4320","4320","0.5011065006915629","0.4912863070539419","0.508298755186722","4320","4320","4320","0.4011756569847856","0.3809128630705394","0.4215767634854772","4320","4320","4320","0.2556016597510374","0.2429460580912863","0.262448132780083","1755","1755","1755"
"49","0.4173755186721992","0.29813278008298755","0.4941908713692946","4800","4800","4800","0.39393153526970953","0.3346473029045643","0.45394190871369294","4800","4800","4800","0.014730290456431535","0.004771784232365146","0.025726141078838173","4800","4800","4800","0.0005186721991701245","0","0.0012448132780082987","4800","4800","4800","0","0","0","1950","1950","1950","0.6852697095435684","0.6784232365145229","0.6892116182572614","4800","4800","4800","0.5332641770401106","0.5253112033195021","0.5431535269709543","4800","4800","4800","0.42123098201936376","0.40850622406639003","0.4367219917012448","4800","4800","4800","0.23983402489626557","0.23298755186721992","0.24522821576763484","1950","1950","1950"
"54","0.4404564315352697","0.3446058091286307","0.487551867219917","5280","5280","5280","0.43495850622406645","0.4008298755186722","0.487551867219917","5280","5280","5280","0.028423236514522825","0.012033195020746889","0.046680497925311204","5280","5280","5280","0.0011410788381742737","0","0.002282157676348548","5280","5280","5280","0","0","0","2145","2145","2145","0.6937759336099586","0.6860995850622407","0.7089211618257262","5280","5280","5280","0.5550484094052558","0.546265560165975","0.5612033195020747","5280","5280","5280","0.45428769017980636","0.45062240663900416","0.4566390041493776","5280","5280","5280","0.22095435684647302","0.21431535269709542","0.22676348547717842","2145","2145","2145"
"59","0.45088174273858916","0.3522821576763486","0.5006224066390041","5760","5760","5760","0.4661825726141079","0.425103734439834","0.5234439834024897","5760","5760","5760","0.04922199170124482","0.02033195020746888","0.07302904564315353","5760","5760","5760","0.002385892116182573","0.0004149377593360996","0.004771784232365146","5760","5760","5760","0","0","0","2340","2340","2340","0.6996542185338867","0.691701244813278","0.7105809128630706","5760","5760","5760","0.5709543568464731","0.5618257261410788","0.5815352697095436","5760","5760","5760","0.4729598893499309","0.46141078838174276","0.48858921161825725","5760","5760","5760","0.20601659751037346","0.2029045643153527","0.208298755186722","2340","2340","2340"
"64","0.47780082987551864","0.4029045643153527","0.5232365145228216","6240","6240","6240","0.49974066390041494","0.4726141078838174","0.5481327800829876","6240","6240","6240","0.07110995850622406","0.03464730290456432","0.0987551867219917","6240","6240","6240","0.004564315352697095","0.0018672199170124482","0.01037344398340249","6240","6240","6240","0","0","0","2535","2535","2535","0.7046334716459198","0.6987551867219917","0.7087136929460581","6240","6240","6240","0.5832641770401107","0.5688796680497925","0.5927385892116183","6240","6240","6240","0.5063623789764868","0.4962655601659751","0.5240663900414938","6240","6240","6240","0.19190871369294604","0.18568464730290457","0.20062240663900416","2535","2535","2535"
"69","0.4892116182572614","0.41120331950207467","0.5344398340248963","6720","6720","6720","0.5227178423236515","0.4983402489626556","0.5510373443983403","6720","6720","6720","0.09279045643153527","0.04688796680497925","0.12448132780082988","6720","6720","6720","0.009232365145228216","0.006016597510373444","0.012655601659751037","6720","6720","6720","0","0","0","2730","2730","2730","0.7036652835408023","0.6993775933609958","0.7062240663900415","6720","6720","6720","0.5966804979253112","0.5869294605809129","0.6031120331950207","6720","6720","6720","0.509820193637621","0.5062240663900415","0.5136929460580912","6720","6720","6720","0.18298755186721993","0.17053941908713693","0.19066390041493775","2730","2730","2730"
"74","0.5025414937759336","0.4452282157676348","0.5325726141078838","7200","7200","7200","0.5352697095435685","0.5109958506224066","0.566597510373444","7200","7200","7200","0.12162863070539418","0.06887966804979254","0.15809128630705394","7200","7200","7200","0.01628630705394191","0.01037344398340249","0.024688796680497924","7200","7200","7200","0","0","0","2925","2925","2925","0.7073997233748271","0.6970954356846473","0.716597510373444","7200","7200","7200","0.6004149377593362","0.5811203319502075","0.6120331950207469","7200","7200","7200","0.5257952973720609","0.5097510373443983","0.5429460580912863","7200","7200","7200","0.1794605809128631","0.17344398340248962","0.18713692946058091","2925","2925","2925"
"79","0.5098029045643154","0.445643153526971","0.5493775933609959","7680","7680","7680","0.5484958506224066","0.5311203319502075","0.5661825726141079","7680","7680","7680","0.1429460580912863","0.08257261410788382","0.17966804979253112","7680","7680","7680","0.021058091286307052","0.013278008298755186","0.031742738589211617","7680","7680","7680","0","0","0","3120","3120","3120","0.7074688796680498","0.7060165975103735","0.7103734439834025","7680","7680","7680","0.6084370677731674","0.5997925311203319","0.6128630705394191","7680","7680","7680","0.529253112033195","0.5072614107883817","0.549585062240664","7680","7680","7680","0.16673582295988934","0.1533195020746888","0.18070539419087137","3120","3120","3120"
"84","0.5144709543568464","0.46348547717842326","0.5404564315352697","8160","8160","8160","0.5641078838174274","0.5319502074688797","0.5910788381742739","8160","8160","8160","0.1788900414937759","0.10892116182572614","0.22240663900414936","8160","8160","8160","0.030446058091286306","0.02053941908713693","0.041701244813278006","8160","8160","8160","0","0","0","3315","3315","3315","0.7027662517289074","0.6952282157676348","0.708091286307054","8160","8160","8160","0.61417704011065","0.6080912863070539","0.6255186721991701","8160","8160","8160","0.5278008298755187","0.5182572614107884","0.5327800829875519","8160","8160","8160","0.16051175656984787","0.15311203319502076","0.16473029045643153","3315","3315","3315"
"89","0.5188796680497926","0.4657676348547718","0.5603734439834025","8640","8640","8640","0.570850622406639","0.5493775933609959","0.5943983402489627","8640","8640","8640","0.19979253112033196","0.13257261410788382","0.2479253112033195","8640","8640","8640","0.041493775933609964","0.02759336099585062","0.05560165975103734","8640","8640","8640","0","0","0","3510","3510","3510","0.7089211618257262","0.7020746887966804","0.720954356846473","8640","8640","8640","0.6213692946058091","0.6178423236514523","0.6257261410788382","8640","8640","8640","0.5457123098201936","0.5414937759336099","0.5483402489626557","8640","8640","8640","0.1521438450899032","0.14647302904564316","0.1562240663900415","3510","3510","3510"