"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MAX"
"4","0.20814315352697094","0.17531120331950206","0.24813278008298756","480","480","480","0.001504149377593361","0","0.0024896265560165973","480","480","480"
"9","0.34942946058091284","0.3321576763485477","0.36182572614107883","960","960","960","0.01312240663900415","0.00933609958506224","0.015145228215767635","960","960","960"
"14","0.3994294605809129","0.39398340248962654","0.4053941908713693","1440","1440","1440","0.0441908713692946","0.04024896265560166","0.05435684647302905","1440","1440","1440"
"19","0.4299792531120332","0.42821576763485475","0.43091286307053944","1920","1920","1920","0.09413900414937759","0.08506224066390042","0.10103734439834025","1920","1920","1920"
"24","0.43537344398340244","0.38858921161825727","0.45726141078838173","2400","2400","2400","0.12479253112033195","0.12012448132780083","0.13049792531120333","2400","2400","2400"
"29","0.4726659751037344","0.4674273858921162","0.48008298755186724","2880","2880","2880","0.14538381742738588","0.1087136929460581","0.16182572614107885","2880","2880","2880"
"34","0.47748962655601657","0.4566390041493776","0.4931535269709544","3360","3360","3360","0.18386929460580914","0.17821576763485478","0.19107883817427385","3360","3360","3360"
"39","0.4825726141078838","0.470954356846473","0.4908713692946058","3840","3840","3840","0.19486514522821577","0.18153526970954356","0.2103734439834025","3840","3840","3840"
"44","0.4820539419087137","0.4612033195020747","0.5091286307053942","4320","4320","4320","0.22012448132780082","0.21369294605809128","0.22821576763485477","4320","4320","4320"
"49","0.49299792531120334","0.4657676348547718","0.5118257261410788","4800","4800","4800","0.22930497925311205","0.2153526970954357","0.237551867219917","4800","4800","4800"
"54","0.5009336099585062","0.4782157676348548","0.5253112033195021","5280","5280","5280","0.24299792531120332","0.22800829875518672","0.2599585062240664","5280","5280","5280"
"59","0.5033195020746888","0.4943983402489627","0.520539419087137","5760","5760","5760","0.2553941908713693","0.24439834024896265","0.2628630705394191","5760","5760","5760"
"64","0.5113070539419087","0.48983402489626554","0.5242738589211619","6240","6240","6240","0.2682053941908714","0.2529045643153527","0.28734439834024894","6240","6240","6240"
"69","0.5206950207468879","0.5145228215767634","0.5282157676348548","6720","6720","6720","0.2594398340248963","0.237551867219917","0.2798755186721992","6720","6720","6720"
"74","0.5109439834024896","0.49979253112033195","0.516597510373444","7200","7200","7200","0.28231327800829875","0.2533195020746888","0.2987551867219917","7200","7200","7200"
"79","0.5255705394190872","0.5134854771784232","0.5344398340248963","7680","7680","7680","0.29901452282157676","0.2576763485477178","0.3201244813278008","7680","7680","7680"
"84","0.5360995850622406","0.5309128630705394","0.5475103734439835","8160","8160","8160","0.2980290456431535","0.28319502074688796","0.3099585062240664","8160","8160","8160"
"89","0.5354253112033196","0.5039419087136929","0.549585062240664","8640","8640","8640","0.29559128630705395","0.2829875518672199","0.30850622406639006","8640","8640","8640"