"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MAX"
"0","3.186107814311981","3.184368133544922","3.189105987548828","96","96","96","3.194904148578644","3.1903367042541504","3.1981041431427","96","96","96"
"1","3.221514105796814","3.2185702323913574","3.2267980575561523","192","192","192","3.221486747264862","3.215451717376709","3.225994110107422","192","192","192"
"2","3.2445903420448303","3.2401647567749023","3.2512941360473633","288","288","288","3.231405258178711","3.2244348526000977","3.236361503601074","288","288","288"
"3","3.261728346347809","3.2571282386779785","3.2688369750976562","384","384","384","3.237419843673706","3.2310500144958496","3.242262363433838","384","384","384"
"4","3.279343008995056","3.27485990524292","3.2869668006896973","480","480","480","3.2422829270362854","3.234699010848999","3.2477407455444336","480","480","480"
"5","3.29544335603714","3.291749954223633","3.3034095764160156","576","576","576","3.2472277879714966","3.240180015563965","3.251494884490967","576","576","576"
"6","3.3102351427078247","3.3060803413391113","3.3182201385498047","672","672","672","3.2527471780776978","3.245729923248291","3.257636070251465","672","672","672"
"7","3.323317527770996","3.3189072608947754","3.3317441940307617","768","768","768","3.2582303285598755","3.2508010864257812","3.2637906074523926","768","768","768"
"8","3.335980176925659","3.331786632537842","3.344731330871582","864","864","864","3.2632920145988464","3.2561964988708496","3.26816463470459","864","864","864"
"9","3.346923053264618","3.34291410446167","3.3560287952423096","960","960","960","3.26937198638916","3.261728525161743","3.2747902870178223","960","960","960"
"10","3.357072174549103","3.3530759811401367","3.36596417427063","1056","1056","1056","3.2749064564704895","3.2667236328125","3.280571937561035","1056","1056","1056"
"11","3.367073118686676","3.3628621101379395","3.375807285308838","1152","1152","1152","3.281002104282379","3.2727608680725098","3.286773681640625","1152","1152","1152"
"12","3.3762267231941223","3.3718247413635254","3.3852994441986084","1248","1248","1248","3.2868778705596924","3.2788100242614746","3.292334794998169","1248","1248","1248"
"13","3.384747087955475","3.380474805831909","3.393559217453003","1344","1344","1344","3.2933887243270874","3.2853450775146484","3.299400806427002","1344","1344","1344"
"14","3.39271342754364","3.388059616088867","3.4019839763641357","1440","1440","1440","3.300168812274933","3.292419195175171","3.3060293197631836","1440","1440","1440"
"15","3.4004493355751038","3.3954272270202637","3.4103000164031982","1536","1536","1536","3.306475579738617","3.2983546257019043","3.3126583099365234","1536","1536","1536"
"16","3.4079684615135193","3.403524398803711","3.4177820682525635","1632","1632","1632","3.3130006790161133","3.3050522804260254","3.3190245628356934","1632","1632","1632"
"17","3.4148423075675964","3.409635305404663","3.424999475479126","1728","1728","1728","3.31962913274765","3.3111915588378906","3.3256845474243164","1728","1728","1728"
"18","3.4216848015785217","3.4175071716308594","3.4309628009796143","1824","1824","1824","3.3269144892692566","3.3197622299194336","3.33270525932312","1824","1824","1824"
"19","3.4284958243370056","3.4237966537475586","3.4385006427764893","1920","1920","1920","3.334012985229492","3.3270456790924072","3.339506149291992","1920","1920","1920"
"20","3.434901535511017","3.4306788444519043","3.4445478916168213","2016","2016","2016","3.340776741504669","3.333827495574951","3.3469529151916504","2016","2016","2016"
"21","3.441225528717041","3.4362173080444336","3.4511725902557373","2112","2112","2112","3.3477829694747925","3.341050624847412","3.3539013862609863","2112","2112","2112"
"22","3.4471097588539124","3.4419713020324707","3.4577698707580566","2208","2208","2208","3.354635238647461","3.347583770751953","3.3618152141571045","2208","2208","2208"
"23","3.4531251192092896","3.448726177215576","3.4632480144500732","2304","2304","2304","3.3615004420280457","3.35556960105896","3.367371082305908","2304","2304","2304"
"24","3.4591410756111145","3.454043388366699","3.4691247940063477","2400","2400","2400","3.3678229451179504","3.361128807067871","3.3736581802368164","2400","2400","2400"
"25","3.4651076793670654","3.460035562515259","3.475696086883545","2496","2496","2496","3.3742253184318542","3.3666255474090576","3.381460666656494","2496","2496","2496"
"26","3.470870614051819","3.4654507637023926","3.4810025691986084","2592","2592","2592","3.380815088748932","3.373326063156128","3.3865411281585693","2592","2592","2592"
"27","3.476533591747284","3.4709839820861816","3.4867658615112305","2688","2688","2688","3.3871124386787415","3.379601240158081","3.3933253288269043","2688","2688","2688"
"28","3.481709897518158","3.476010799407959","3.4920215606689453","2784","2784","2784","3.393584728240967","3.3869571685791016","3.3994007110595703","2784","2784","2784"
"29","3.487124741077423","3.4808952808380127","3.4979476928710938","2880","2880","2880","3.400935411453247","3.397245407104492","3.405228614807129","2880","2880","2880"
"30","3.4919772148132324","3.4855668544769287","3.5029592514038086","2976","2976","2976","3.407237231731415","3.4045190811157227","3.4119489192962646","2976","2976","2976"
"31","3.497453033924103","3.4906208515167236","3.5091419219970703","3072","3072","3072","3.4131935834884644","3.4110941886901855","3.4173312187194824","3072","3072","3072"
"32","3.5027450919151306","3.495739221572876","3.51420259475708","3168","3168","3168","3.418997645378113","3.4165115356445312","3.4227094650268555","3168","3168","3168"
"33","3.5082972049713135","3.5016512870788574","3.519237518310547","3264","3264","3264","3.425528109073639","3.4209401607513428","3.434037685394287","3264","3264","3264"
"34","3.5133230686187744","3.506781578063965","3.5240318775177","3360","3360","3360","3.43121999502182","3.4255151748657227","3.4400124549865723","3360","3360","3360"
"35","3.5179731845855713","3.510885238647461","3.5292606353759766","3456","3456","3456","3.436565399169922","3.4305472373962402","3.4447150230407715","3456","3456","3456"
"36","3.522876799106598","3.516192674636841","3.53410005569458","3552","3552","3552","3.441554367542267","3.4348678588867188","3.448772430419922","3552","3552","3552"
"37","3.5282247066497803","3.5220799446105957","3.5386931896209717","3648","3648","3648","3.4466134309768677","3.4394168853759766","3.4530656337738037","3648","3648","3648"
"38","3.533172130584717","3.52663516998291","3.544133424758911","3744","3744","3744","3.451795816421509","3.444875717163086","3.4572858810424805","3744","3744","3744"
"39","3.5383031368255615","3.531480550765991","3.55002498626709","3840","3840","3840","3.457028329372406","3.449753761291504","3.4616928100585938","3840","3840","3840"
"40","3.543144404888153","3.5361266136169434","3.555412769317627","3936","3936","3936","3.4623688459396362","3.455695152282715","3.4668078422546387","3936","3936","3936"
"41","3.547987997531891","3.5406954288482666","3.5599799156188965","4032","4032","4032","3.467029333114624","3.459489107131958","3.4712305068969727","4032","4032","4032"
"42","3.5527844429016113","3.54557466506958","3.5651395320892334","4128","4128","4128","3.4720858931541443","3.465224266052246","3.476248264312744","4128","4128","4128"
"43","3.5574986934661865","3.5502612590789795","3.5705997943878174","4224","4224","4224","3.477096199989319","3.470797538757324","3.4806814193725586","4224","4224","4224"
"44","3.563055396080017","3.556187152862549","3.5764007568359375","4320","4320","4320","3.481542408466339","3.4754552841186523","3.4847018718719482","4320","4320","4320"
"45","3.5682697892189026","3.561786651611328","3.5810000896453857","4416","4416","4416","3.48627632856369","3.4802603721618652","3.489434242248535","4416","4416","4416"
"46","3.5725651383399963","3.5664079189300537","3.585575580596924","4512","4512","4512","3.490634024143219","3.483822822570801","3.494946241378784","4512","4512","4512"
"47","3.5775238275527954","3.5707767009735107","3.589456796646118","4608","4608","4608","3.4950709342956543","3.4885103702545166","3.498725652694702","4608","4608","4608"
"48","3.582306981086731","3.5759201049804688","3.5938286781311035","4704","4704","4704","3.4998292326927185","3.493838310241699","3.5033931732177734","4704","4704","4704"
"49","3.5870622396469116","3.5801219940185547","3.598571300506592","4800","4800","4800","3.504691243171692","3.4982385635375977","3.508366346359253","4800","4800","4800"
"50","3.5913442969322205","3.58331298828125","3.602311611175537","4896","4896","4896","3.5092962980270386","3.5031368732452393","3.513392925262451","4896","4896","4896"
"51","3.5963037610054016","3.58872652053833","3.607557773590088","4992","4992","4992","3.5143115520477295","3.5086207389831543","3.5181708335876465","4992","4992","4992"
"52","3.6005642414093018","3.5930516719818115","3.6113643646240234","5088","5088","5088","3.5189428329467773","3.5133237838745117","3.5230813026428223","5088","5088","5088"
"53","3.6055150628089905","3.5979440212249756","3.6170437335968018","5184","5184","5184","3.523534655570984","3.51776123046875","3.528158664703369","5184","5184","5184"
"54","3.6098963618278503","3.6023459434509277","3.621542453765869","5280","5280","5280","3.528188645839691","3.5231704711914062","3.5326685905456543","5280","5280","5280"
"55","3.6149234771728516","3.606736183166504","3.6258883476257324","5376","5376","5376","3.532723605632782","3.528503656387329","3.536527633666992","5376","5376","5376"
"56","3.6195757389068604","3.612100124359131","3.630002021789551","5472","5472","5472","3.537911355495453","3.533074378967285","3.541626453399658","5472","5472","5472"
"57","3.6242828965187073","3.6167104244232178","3.63504695892334","5568","5568","5568","3.5425283312797546","3.5372633934020996","3.5472755432128906","5568","5568","5568"
"58","3.629011631011963","3.6217122077941895","3.6396031379699707","5664","5664","5664","3.547339618206024","3.5427229404449463","3.5521318912506104","5664","5664","5664"
"59","3.6340739130973816","3.627545118331909","3.644606590270996","5760","5760","5760","3.551778733730316","3.5466623306274414","3.5571396350860596","5760","5760","5760"
"60","3.6394510865211487","3.632504463195801","3.6506848335266113","5856","5856","5856","3.556682288646698","3.552807331085205","3.561197519302368","5856","5856","5856"
"61","3.6451109051704407","3.6363258361816406","3.660705804824829","5952","5952","5952","3.5610311031341553","3.556840419769287","3.5652384757995605","5952","5952","5952"
"62","3.650081694126129","3.640524387359619","3.6665968894958496","6048","6048","6048","3.5661827325820923","3.561638832092285","3.570418357849121","6048","6048","6048"
"63","3.654248893260956","3.644871711730957","3.6712074279785156","6144","6144","6144","3.571065127849579","3.567042827606201","3.5748088359832764","6144","6144","6144"
"64","3.659210503101349","3.6501271724700928","3.6749391555786133","6240","6240","6240","3.575966715812683","3.5719571113586426","3.5779836177825928","6240","6240","6240"
"65","3.66353702545166","3.6544981002807617","3.678894519805908","6336","6336","6336","3.5807730555534363","3.576273202896118","3.5836150646209717","6336","6336","6336"
"66","3.6676913499832153","3.659130334854126","3.6829562187194824","6432","6432","6432","3.5864821076393127","3.581636428833008","3.59004807472229","6432","6432","6432"
"67","3.671834707260132","3.663679838180542","3.6865234375","6528","6528","6528","3.591233015060425","3.5865588188171387","3.594198226928711","6528","6528","6528"
"68","3.6763656735420227","3.6682844161987305","3.6910459995269775","6624","6624","6624","3.595969259738922","3.591855525970459","3.5994274616241455","6624","6624","6624"
"69","3.6803264021873474","3.6729679107666016","3.694504976272583","6720","6720","6720","3.600944757461548","3.59666109085083","3.6041879653930664","6720","6720","6720"
"70","3.6843661665916443","3.677672863006592","3.697469472885132","6816","6816","6816","3.6054404377937317","3.6013379096984863","3.6078391075134277","6816","6816","6816"
"71","3.6890439987182617","3.682497024536133","3.7013278007507324","6912","6912","6912","3.6101921796798706","3.6059837341308594","3.612675905227661","6912","6912","6912"
"72","3.693730056285858","3.6874499320983887","3.706122875213623","7008","7008","7008","3.6141409277915955","3.610193967819214","3.6169891357421875","7008","7008","7008"
"73","3.697867214679718","3.690948486328125","3.710602045059204","7104","7104","7104","3.619713842868805","3.618405818939209","3.620997190475464","7104","7104","7104"
"74","3.702436327934265","3.695495367050171","3.7148702144622803","7200","7200","7200","3.6247540712356567","3.623277187347412","3.62687349319458","7200","7200","7200"
"75","3.7070493698120117","3.7005786895751953","3.719972610473633","7296","7296","7296","3.628922402858734","3.627382755279541","3.6310269832611084","7296","7296","7296"
"76","3.711985945701599","3.7059216499328613","3.7242093086242676","7392","7392","7392","3.6336952447891235","3.6300225257873535","3.635566473007202","7392","7392","7392"
"77","3.716304361820221","3.7097890377044678","3.728281259536743","7488","7488","7488","3.6377819776535034","3.634092330932617","3.6396520137786865","7488","7488","7488"
"78","3.7207409739494324","3.7158255577087402","3.7326250076293945","7584","7584","7584","3.6416292786598206","3.637735605239868","3.6442127227783203","7584","7584","7584"
"79","3.725187838077545","3.7206177711486816","3.7372512817382812","7680","7680","7680","3.6455267667770386","3.6417555809020996","3.6476120948791504","7680","7680","7680"
"80","3.729711949825287","3.725442409515381","3.742154836654663","7776","7776","7776","3.650058150291443","3.6464030742645264","3.6535420417785645","7776","7776","7776"
"81","3.73405921459198","3.7296319007873535","3.745856523513794","7872","7872","7872","3.65423583984375","3.650378942489624","3.6575546264648438","7872","7872","7872"
"82","3.7385778427124023","3.7337546348571777","3.7500436305999756","7968","7968","7968","3.657834768295288","3.6537961959838867","3.661320209503174","7968","7968","7968"
"83","3.7459288239479065","3.7380101680755615","3.7545228004455566","8064","8064","8064","3.6619808077812195","3.660048484802246","3.6650311946868896","8064","8064","8064"
"84","3.75027996301651","3.7422380447387695","3.7586681842803955","8160","8160","8160","3.666019380092621","3.66414213180542","3.669734477996826","8160","8160","8160"
"85","3.753903329372406","3.746863842010498","3.7623913288116455","8256","8256","8256","3.670919120311737","3.6683168411254883","3.6752700805664062","8256","8256","8256"
"86","3.758346378803253","3.75128173828125","3.76731538772583","8352","8352","8352","3.6747535467147827","3.6727113723754883","3.6794471740722656","8352","8352","8352"
"87","3.762694299221039","3.7556257247924805","3.7722787857055664","8448","8448","8448","3.6870476603507996","3.6776905059814453","3.7139670848846436","8448","8448","8448"
"88","3.766989588737488","3.7598073482513428","3.77815580368042","8544","8544","8544","3.6919936537742615","3.6823625564575195","3.717829465866089","8544","8544","8544"
"89","3.7713234424591064","3.763338088989258","3.7832980155944824","8640","8640","8640","3.696015417575836","3.686720371246338","3.7200841903686523","8640","8640","8640"