"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.005-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.0001-preratio0.0-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.005-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00001-preratio0.0-group - _step__MAX"
"4","0.22209543568464732","0.21307053941908713","0.2363070539419087","480","480","480","0.012914937759336099","0.008713692946058092","0.018464730290456432","480","480","480","0.0015041493775933609","0.0008298755186721991","0.002074688796680498","480","480","480","0","0","0","195","195","195","0.20814315352697094","0.17531120331950206","0.24813278008298756","480","480","480","0.008609958506224065","0.006431535269709543","0.01058091286307054","480","480","480","0.001504149377593361","0","0.0024896265560165973","480","480","480","0.00036307053941908715","0.0002074688796680498","0.0004149377593360996","195","195","195","0.10440871369294606","0.1008298755186722","0.10975103734439834","480","480","480","0.004356846473029046","0.0035269709543568465","0.005809128630705394","480","480","480","0.001037344398340249","0.0004149377593360996","0.0018672199170124482","480","480","480","0.0014522821576763486","0.0008298755186721991","0.002074688796680498","195","195","195"
"9","0.33936721991701246","0.29564315352697096","0.3566390041493776","960","960","960","0.08848547717842323","0.08464730290456432","0.09564315352697095","960","960","960","0.025518672199170124","0.01887966804979253","0.03049792531120332","960","960","960","0","0","0","390","390","390","0.34942946058091284","0.3321576763485477","0.36182572614107883","960","960","960","0.0679460580912863","0.06597510373443984","0.07095435684647303","960","960","960","0.01312240663900415","0.00933609958506224","0.015145228215767635","960","960","960","0","0","0","390","390","390","0.220902489626556","0.2157676348547718","0.22468879668049793","960","960","960","0.014730290456431535","0.014107883817427386","0.015352697095435684","960","960","960","0.0026970954356846473","0.0018672199170124482","0.004149377593360996","960","960","960","0.0004149377593360996","0.0004149377593360996","0.0004149377593360996","390","390","390"
"14","0.3851141078838174","0.36535269709543566","0.4033195020746888","1440","1440","1440","0.15383817427385893","0.1441908713692946","0.16804979253112035","1440","1440","1440","0.07261410788381742","0.061410788381742736","0.08609958506224066","1440","1440","1440","0","0","0","585","585","585","0.3994294605809129","0.39398340248962654","0.4053941908713693","1440","1440","1440","0.15347510373443982","0.1433609958506224","0.1755186721991701","1440","1440","1440","0.0441908713692946","0.04024896265560166","0.05435684647302905","1440","1440","1440","0","0","0","585","585","585","0.3066908713692946","0.29854771784232365","0.3172199170124481","1440","1440","1440","0.026659751037344394","0.024688796680497924","0.02946058091286307","1440","1440","1440","0.004927385892116182","0.0035269709543568465","0.006846473029045643","1440","1440","1440","0.0004149377593360996","0.0004149377593360996","0.0004149377593360996","585","585","585"
"19","0.40679460580912863","0.3595435684647303","0.4327800829875519","1920","1920","1920","0.1866701244813278","0.1574688796680498","0.22178423236514522","1920","1920","1920","0.1058609958506224","0.09481327800829875","0.12136929460580913","1920","1920","1920","0","0","0","780","780","780","0.4299792531120332","0.42821576763485475","0.43091286307053944","1920","1920","1920","0.20357883817427386","0.19481327800829876","0.21887966804979253","1920","1920","1920","0.09413900414937759","0.08506224066390042","0.10103734439834025","1920","1920","1920","0","0","0","780","780","780","0.36125518672199175","0.35269709543568467","0.37219917012448134","1920","1920","1920","0.04351659751037344","0.04087136929460581","0.045020746887966805","1920","1920","1920","0.008454356846473029","0.006846473029045643","0.00975103734439834","1920","1920","1920","0.0004149377593360996","0.0004149377593360996","0.0004149377593360996","780","780","780"
"24","0.4456431535269709","0.412655601659751","0.46224066390041496","2400","2400","2400","0.23832987551867219","0.22697095435684647","0.26390041493775934","2400","2400","2400","0.12951244813278007","0.12344398340248963","0.1421161825726141","2400","2400","2400","0","0","0","975","975","975","0.43537344398340244","0.38858921161825727","0.45726141078838173","2400","2400","2400","0.2462655601659751","0.22406639004149378","0.2595435684647303","2400","2400","2400","0.12479253112033195","0.12012448132780083","0.13049792531120333","2400","2400","2400","0","0","0","975","975","975","0.39175311203319496","0.38112033195020745","0.4078838174273859","2400","2400","2400","0.06737551867219917","0.06431535269709543","0.06908713692946059","2400","2400","2400","0.014522821576763486","0.013070539419087137","0.018464730290456432","2400","2400","2400","0.0004149377593360996","0.0004149377593360996","0.0004149377593360996","975","975","975"
"29","0.46198132780082984","0.44979253112033196","0.47489626556016595","2880","2880","2880","0.2576244813278008","0.24315352697095435","0.2705394190871369","2880","2880","2880","0.1508298755186722","0.13257261410788382","0.16493775933609958","2880","2880","2880","0","0","0","1170","1170","1170","0.4726659751037344","0.4674273858921162","0.48008298755186724","2880","2880","2880","0.25363070539419086","0.25145228215767634","0.25663900414937757","2880","2880","2880","0.14538381742738588","0.1087136929460581","0.16182572614107885","2880","2880","2880","0","0","0","1170","1170","1170","0.41421161825726144","0.40892116182572613","0.41970954356846474","2880","2880","2880","0.09175311203319503","0.08775933609958506","0.09356846473029046","2880","2880","2880","0.01924273858921162","0.015145228215767635","0.025518672199170124","2880","2880","2880","0.0004149377593360996","0.0004149377593360996","0.0004149377593360996","1170","1170","1170"
"34","0.46478215767634856","0.4350622406639004","0.49149377593360993","3360","3360","3360","0.2795124481327801","0.2726141078838174","0.2867219917012448","3360","3360","3360","0.1729771784232365","0.1578838174273859","0.18506224066390042","3360","3360","3360","0","0","0","1365","1365","1365","0.47748962655601657","0.4566390041493776","0.4931535269709544","3360","3360","3360","0.2868257261410788","0.27199170124481326","0.29647302904564315","3360","3360","3360","0.18386929460580914","0.17821576763485478","0.19107883817427385","3360","3360","3360","0","0","0","1365","1365","1365","0.42992738589211615","0.4203319502074689","0.4387966804979253","3360","3360","3360","0.11903526970954358","0.11348547717842324","0.12178423236514523","3360","3360","3360","0.030860995850622408","0.028838174273858923","0.035062240663900415","3360","3360","3360","0.0003630705394190871","0.0002074688796680498","0.0004149377593360996","1365","1365","1365"
"39","0.491804979253112","0.48734439834024895","0.5024896265560166","3840","3840","3840","0.29315352697095437","0.26473029045643154","0.30601659751037347","3840","3840","3840","0.19107883817427387","0.17863070539419088","0.2095435684647303","3840","3840","3840","0","0","0","1560","1560","1560","0.48257261410788377","0.470954356846473","0.4908713692946058","3840","3840","3840","0.3128630705394191","0.3074688796680498","0.32385892116182574","3840","3840","3840","0.19486514522821577","0.18153526970954356","0.2103734439834025","3840","3840","3840","0","0","0","1560","1560","1560","0.4442946058091286","0.43651452282157677","0.44854771784232367","3840","3840","3840","0.1483402489626556","0.14356846473029045","0.1549792531120332","3840","3840","3840","0.040300829875518675","0.036721991701244815","0.0487551867219917","3840","3840","3840","0.00015560165975103733","0","0.0004149377593360996","1560","1560","1560"
"44","0.491441908713693","0.48091286307053943","0.49771784232365146","4320","4320","4320","0.30062240663900414","0.2950207468879668","0.30414937759336097","4320","4320","4320","0.19906639004149376","0.15269709543568466","0.23381742738589212","4320","4320","4320","0","0","0","1755","1755","1755","0.48205394190871376","0.4612033195020747","0.5091286307053942","4320","4320","4320","0.33200207468879667","0.32510373443983404","0.34356846473029046","4320","4320","4320","0.22012448132780082","0.21369294605809128","0.22821576763485477","4320","4320","4320","0","0","0","1755","1755","1755","0.4523340248962656","0.44585062240663903","0.46099585062240667","4320","4320","4320","0.18174273858921164","0.17697095435684648","0.1879668049792531","4320","4320","4320","0.05233402489626556","0.04564315352697095","0.06182572614107884","4320","4320","4320","0.00015560165975103733","0","0.0004149377593360996","1755","1755","1755"
"49","0.4854253112033195","0.44190871369294604","0.5112033195020746","4800","4800","4800","0.27520746887966807","0.15435684647302905","0.33755186721991703","4800","4800","4800","0.20985477178423237","0.1892116182572614","0.22095435684647302","4800","4800","4800","0","0","0","1950","1950","1950","0.49299792531120334","0.4657676348547718","0.5118257261410788","4800","4800","4800","0.3407676348547718","0.30850622406639006","0.3634854771784232","4800","4800","4800","0.22930497925311205","0.2153526970954357","0.237551867219917","4800","4800","4800","0","0","0","1950","1950","1950","0.4630705394190871","0.45352697095435685","0.4763485477178423","4800","4800","4800","0.2054979253112033","0.1966804979253112","0.2161825726141079","4800","4800","4800","0.06488589211618256","0.06078838174273859","0.07074688796680498","4800","4800","4800","0.0001037344398340249","0","0.0004149377593360996","1950","1950","1950"
"54","0.5185165975103734","0.4995850622406639","0.5296680497925311","5280","5280","5280","0.32930497925311203","0.31867219917012446","0.35560165975103736","5280","5280","5280","0.23822614107883816","0.2228215767634855","0.2529045643153527","5280","5280","5280","0","0","0","2145","2145","2145","0.5009336099585062","0.4782157676348548","0.5253112033195021","5280","5280","5280","0.3226141078838174","0.2688796680497925","0.3591286307053942","5280","5280","5280","0.24299792531120332","0.22800829875518672","0.2599585062240664","5280","5280","5280","0","0","0","2145","2145","2145","0.4734439834024896","0.4686721991701245","0.47717842323651455","5280","5280","5280","0.23112033195020748","0.22136929460580912","0.24004149377593362","5280","5280","5280","0.08091286307053942","0.07116182572614108","0.091701244813278","5280","5280","5280","0.00005186721991701245","0","0.0002074688796680498","2145","2145","2145"
"59","0.48874481327800834","0.43132780082987554","0.529045643153527","5760","5760","5760","0.3452282157676349","0.33029045643153526","0.35809128630705395","5760","5760","5760","0.23184647302904565","0.2074688796680498","0.2479253112033195","5760","5760","5760","0","0","0","2340","2340","2340","0.5033195020746888","0.4943983402489627","0.520539419087137","5760","5760","5760","0.35119294605809126","0.32551867219917013","0.37572614107883817","5760","5760","5760","0.2553941908713693","0.24439834024896265","0.2628630705394191","5760","5760","5760","0","0","0","2340","2340","2340","0.4811203319502075","0.4763485477178423","0.4871369294605809","5760","5760","5760","0.2593879668049792","0.2495850622406639","0.270954356846473","5760","5760","5760","0.1004149377593361","0.09398340248962656","0.10601659751037344","5760","5760","5760","0","0","0","2340","2340","2340"
"64","0.5249999999999999","0.5058091286307054","0.5448132780082987","6240","6240","6240","0.34937759336099583","0.34107883817427387","0.36763485477178426","6240","6240","6240","0.2615145228215767","0.25020746887966805","0.27240663900414935","6240","6240","6240","0","0","0","2535","2535","2535","0.5113070539419087","0.48983402489626554","0.5242738589211619","6240","6240","6240","0.366597510373444","0.35767634854771785","0.3736514522821577","6240","6240","6240","0.2682053941908714","0.2529045643153527","0.28734439834024894","6240","6240","6240","0","0","0","2535","2535","2535","0.4882261410788382","0.4807053941908714","0.4962655601659751","6240","6240","6240","0.2882261410788382","0.279045643153527","0.3012448132780083","6240","6240","6240","0.11950207468879669","0.1078838174273859","0.12531120331950207","6240","6240","6240","0.0001037344398340249","0","0.0002074688796680498","2535","2535","2535"
"69","0.524896265560166","0.48402489626556017","0.5522821576763486","6720","6720","6720","0.34776970954356845","0.3215767634854772","0.362448132780083","6720","6720","6720","0.2614626556016597","0.24896265560165975","0.2688796680497925","6720","6720","6720","0","0","0","2730","2730","2730","0.5206950207468879","0.5145228215767634","0.5282157676348548","6720","6720","6720","0.3724585062240664","0.3616182572614108","0.3788381742738589","6720","6720","6720","0.2594398340248963","0.237551867219917","0.2798755186721992","6720","6720","6720","0","0","0","2730","2730","2730","0.4898858921161826","0.47925311203319504","0.4975103734439834","6720","6720","6720","0.3023340248962656","0.2923236514522822","0.3103734439834025","6720","6720","6720","0.14030082987551867","0.13443983402489626","0.14896265560165975","6720","6720","6720","0.00005186721991701245","0","0.0002074688796680498","2730","2730","2730"
"74","0.5388485477178423","0.5298755186721992","0.5489626556016598","7200","7200","7200","0.3656639004149378","0.34896265560165973","0.3784232365145228","7200","7200","7200","0.25663900414937757","0.22946058091286306","0.2804979253112033","7200","7200","7200","0","0","0","2925","2925","2925","0.5109439834024896","0.49979253112033195","0.516597510373444","7200","7200","7200","0.3770746887966805","0.3690871369294606","0.38464730290456434","7200","7200","7200","0.28231327800829875","0.2533195020746888","0.2987551867219917","7200","7200","7200","0","0","0","2925","2925","2925","0.4907157676348548","0.48091286307053943","0.4983402489626556","7200","7200","7200","0.3202282157676348","0.312448132780083","0.32593360995850623","7200","7200","7200","0.16167012448132778","0.15","0.1699170124481328","7200","7200","7200","0.0001037344398340249","0","0.0004149377593360996","2925","2925","2925"
"79","0.5393153526970955","0.5226141078838175","0.5518672199170125","7680","7680","7680","0.35954356846473035","0.3491701244813278","0.3686721991701245","7680","7680","7680","0.26981327800829874","0.2560165975103734","0.2809128630705394","7680","7680","7680","0","0","0","3120","3120","3120","0.5255705394190872","0.5134854771784232","0.5344398340248963","7680","7680","7680","0.37780082987551866","0.3522821576763486","0.4016597510373444","7680","7680","7680","0.29901452282157676","0.2576763485477178","0.3201244813278008","7680","7680","7680","0","0","0","3120","3120","3120","0.5051867219917012","0.4983402489626556","0.5080912863070539","7680","7680","7680","0.33418049792531124","0.32178423236514525","0.3462655601659751","7680","7680","7680","0.1850103734439834","0.17780082987551868","0.1908713692946058","7680","7680","7680","0","0","0","3120","3120","3120"
"84","0.5413900414937759","0.5145228215767634","0.5649377593360996","8160","8160","8160","0.36924273858921164","0.34730290456431534","0.3892116182572614","8160","8160","8160","0.27520746887966807","0.2688796680497925","0.28402489626556016","8160","8160","8160","0","0","0","3315","3315","3315","0.5360995850622406","0.5309128630705394","0.5475103734439835","8160","8160","8160","0.38558091286307056","0.3755186721991701","0.3977178423236514","8160","8160","8160","0.2980290456431535","0.28319502074688796","0.3099585062240664","8160","8160","8160","0","0","0","3315","3315","3315","0.49942946058091287","0.4939834024896266","0.5039419087136929","8160","8160","8160","0.34647302904564314","0.3338174273858921","0.358298755186722","8160","8160","8160","0.1982883817427386","0.19170124481327802","0.20684647302904563","8160","8160","8160","0","0","0","3315","3315","3315"
"89","0.5565352697095436","0.5433609958506224","0.5699170124481328","8640","8640","8640","0.3886410788381742","0.3491701244813278","0.4153526970954357","8640","8640","8640","0.28480290456431534","0.2744813278008299","0.2941908713692946","8640","8640","8640","0","0","0","3510","3510","3510","0.5354253112033195","0.5039419087136929","0.549585062240664","8640","8640","8640","0.39512448132780087","0.362448132780083","0.4219917012448133","8640","8640","8640","0.29559128630705395","0.2829875518672199","0.30850622406639006","8640","8640","8640","0","0","0","3510","3510","3510","0.504408713692946","0.5026970954356846","0.5072614107883817","8640","8640","8640","0.3621369294605809","0.3587136929460581","0.36887966804979255","8640","8640","8640","0.21390041493775933","0.20684647302904563","0.22717842323651452","8640","8640","8640","0","0","0","3510","3510","3510"